"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf","score","rank"
"Brandon Pettigrew","te",0,0,567,3,0,0,0,0,0,0,0,74.7,179
"Brent Celek","te",0,0,684,1,0,0,0,0,0,0,0,74.4,180
"Connor Barth","k",0,0,0,0,0,0,0,7,3,1,6,74,181
"Nick Novak","k",0,0,0,0,0,0,1,5,6,4,2,74,182
"Leonard Hankerson","wr",0,0,543,3,0,0,0,0,0,0,0,72.3,183
"Daniel Thomas","rb",325,4,156,0,0,0,0,0,0,0,0,72.1,184
"Matt Prater","k",0,0,0,0,0,0,1,7,1,5,3,71,185
"Garrett Hartley","k",0,0,0,0,0,0,0,9,4,2,3,71,186
"LaRod Stephens-Howling","rb",356,4,106,0,0,0,0,0,0,0,0,70.2,187
"Dwayne Allen","te",0,0,521,3,0,0,0,0,0,0,0,70.1,188
"David Wilson","rb",358,4,34,1,0,0,0,0,0,0,0,69.2,189
"Domenik Hixon","wr",0,0,567,2,0,0,0,0,0,0,0,68.7,190
"Emmanuel Sanders","wr",0,0,626,1,0,0,0,0,0,0,0,68.6,191
"Donald Jones","wr",0,0,443,4,0,0,0,0,0,0,0,68.3,192
"Michael Floyd","wr",0,0,562,2,0,0,0,0,0,0,0,68.2,193
"Benjamin Watson","te",0,0,501,3,0,0,0,0,0,0,0,68.1,194
"Kevin Ogletree","wr",0,0,436,4,0,0,0,0,0,0,0,67.6,195
"Jacob Tamme","te",0,0,555,2,0,0,0,0,0,0,0,67.5,196
"Dallas Clark","te",0,0,435,4,0,0,0,0,0,0,0,67.5,197
"Jackie Battle","rb",311,3,108,1,0,0,0,0,0,0,0,65.9,198
"Joel Dreessen","te",0,0,356,5,0,0,0,0,0,0,0,65.6,199
"Jason Avant","wr",0,0,648,0,0,0,0,0,0,0,0,64.8,200
"Jacoby Jones","wr",0,0,406,4,0,0,0,0,0,0,0,64.6,201
"Shane Vereen","rb",251,3,149,1,0,0,0,0,0,0,0,64,202
"Shaun Suisham","k",0,0,0,0,0,0,0,7,8,1,1,64,203
"Bernard Pierce","rb",532,1,47,0,0,0,0,0,0,0,0,63.9,204
"Daryl Richardson","rb",475,0,163,0,0,0,0,0,0,0,0,63.8,205
"Kevin Walter","wr",0,0,518,2,0,0,0,0,0,0,0,63.8,206
"Anthony Fasano","te",0,0,332,5,0,0,0,0,0,0,0,63.2,207
"Joshua Morgan","wr",0,0,510,2,0,0,0,0,0,0,0,63,208
"Titus Young","wr",0,0,383,4,0,0,0,0,0,0,0,62.3,209
"Maurice Jones-Drew","rb",414,1,86,1,0,0,0,0,0,0,0,62,210
"Randy Moss","wr",0,0,434,3,0,0,0,0,0,0,0,61.4,211
"Jonathan Stewart","rb",336,1,157,1,0,0,0,0,0,0,0,61.3,212
"Alex Henery","k",0,0,0,0,0,0,0,8,8,1,0,61,213
"Greg Jennings","wr",0,0,366,4,0,0,0,0,0,0,0,60.6,214
"Matt Bryant","k",0,0,0,0,0,0,1,8,1,1,4,60,215
"Ronnie Brown","rb",220,0,371,0,0,0,0,0,0,0,0,59.1,216
"Steven Hauschka","k",0,0,0,0,0,0,1,7,1,5,1,59,217
"Alex Green","rb",464,0,125,0,0,0,0,0,0,0,0,58.9,218
