"name","displayType","rushYds","rushTds","recYds","recTds","passYds","passTds","fgs0.20","fgs20.30","fgs30.40","fgs40.50","fgs50.inf"
"Henry Hynoski","rb",20,0,50,1,0,0,0,0,0,0,0
"Collin Mooney","rb",19,0,0,0,0,0,0,0,0,0,0
"Bruce Miller","rb",18,0,84,0,0,0,0,0,0,0,0
"Nate Eachus","rb",18,0,19,0,0,0,0,0,0,0,0
"Stefan Logan","rb",17,0,28,0,0,0,0,0,0,0,0
"Javon Ringer","rb",14,0,12,0,0,0,0,0,0,0,0
"Jorvorskie Lane","rb",13,2,79,1,0,0,0,0,0,0,0
"Lawrence Vickers","rb",11,0,104,0,0,0,0,0,0,0,0
"Matt Asiata","rb",9,0,2,0,0,0,0,0,0,0,0
"Da'Rel Scott","rb",9,0,0,0,0,0,0,0,0,0,0
"Jordan Todman","rb",8,0,0,0,0,0,0,0,0,0,0
"Marcus Thigpen","rb",8,0,15,0,0,0,0,0,0,0,0
"Greg Jones","rb",8,0,64,0,0,0,0,0,0,0,0
"Brandon Jacobs","rb",7,0,0,0,0,0,0,0,0,0,0
"Will Johnson","rb",7,0,137,1,0,0,0,0,0,0,0
"Jonathan Grimes","rb",6,0,7,0,0,0,0,0,0,0,0
"Travaris Cadet","rb",5,0,44,0,0,0,0,0,0,0,0
"Robert Hughes","rb",5,0,3,0,0,0,0,0,0,0,0
"Quinn Johnson","rb",5,0,40,0,0,0,0,0,0,0,0
"Daniel Herron","rb",5,0,0,0,0,0,0,0,0,0,0
"Keiland Williams","rb",3,0,9,0,0,0,0,0,0,0,0
"Roy Helu","rb",2,0,45,0,0,0,0,0,0,0,0
"Owen Schmitt","rb",1,0,0,0,0,0,0,0,0,0,0
"Brit Miller","rb",0,0,0,0,0,0,0,0,0,0,0
"Jerome Felton","rb",0,0,35,0,0,0,0,0,0,0,0
"Erik Lorig","rb",0,0,83,1,0,0,0,0,0,0,0
"Jed Collins","rb",0,0,70,2,0,0,0,0,0,0,0
"Mike Cox","rb",0,0,22,0,0,0,0,0,0,0,0
"John Conner","rb",0,0,0,0,0,0,0,0,0,0,0
"Owen Marecic","rb",0,0,0,0,0,0,0,0,0,0,0
"Patrick DiMarco","rb",0,0,0,0,0,0,0,0,0,0,0
"Shaun Chapas","rb",0,0,6,0,0,0,0,0,0,0,0
"Alfonso Smith","rb",0,0,21,0,0,0,0,0,0,0,0
"Lousaka Polite","rb",0,0,8,0,0,0,0,0,0,0,0
"Antone Smith","rb",0,0,0,0,0,0,0,0,0,0,0
"Chris Gronkowski","rb",0,0,11,0,0,0,0,0,0,0,0
"Reagan Maui'a","rb",0,0,7,0,0,0,0,0,0,0,0
"Tyler Clutts","rb",0,0,0,0,0,0,0,0,0,0,0
"Anthony Sherman","rb",0,0,39,0,0,0,0,0,0,0,0
"Will Ta'ufo'ou","rb",0,0,5,0,0,0,0,0,0,0,0
"Corey McIntyre","rb",0,0,9,0,0,0,0,0,0,0,0
"Brandon Saine","rb",0,0,0,0,0,0,0,0,0,0,0
"Chris Pressley","rb",0,0,1,1,0,0,0,0,0,0,0
"Rhett Ellison","rb",0,0,65,0,0,0,0,0,0,0,0
"Evan Rodriguez","rb",0,0,21,0,0,0,0,0,0,0,0
"Armond Smith","rb",0,0,0,0,0,0,0,0,0,0,0
"Shaun Hill","qb",1,0,0,0,172,2,0,0,0,0,0
"Kyle Orton","qb",0,0,0,0,89,1,0,0,0,0,0
"Derek Anderson","qb",0,0,0,0,58,0,0,0,0,0,0
"Chase Daniel","qb",3,0,0,0,10,0,0,0,0,0,0
"Aaron Rodgers","qb",54,2,0,0,4295,39,0,0,0,0,0
"Peyton Manning","qb",23,0,0,0,4659,37,0,0,0,0,0
"Alex Smith","qb",31,0,0,0,1737,13,0,0,0,0,0
"Robert Griffin III","qb",120,7,0,0,3200,20,0,0,0,0,0
"Kirk Cousins","qb",3,0,0,0,466,4,0,0,0,0,0
"Russell Wilson","qb",94,4,0,0,3118,26,0,0,0,0,0
"Matt Ryan","qb",34,1,0,0,4719,32,0,0,0,0,0
"Tom Brady","qb",23,4,0,0,4827,34,0,0,0,0,0
"Colin Kaepernick","qb",63,5,0,0,1814,10,0,0,0,0,0
"Ben Roethlisberger","qb",26,0,0,0,3265,26,0,0,0,0,0
"Matt Moore","qb",5,0,0,0,131,1,0,0,0,0,0
"Drew Brees","qb",15,1,0,0,5177,43,0,0,0,0,0
"Trent Edwards","qb",0,0,0,0,14,0,0,0,0,0,0
"Matt Schaub","qb",21,0,0,0,4008,22,0,0,0,0,0
"Tony Romo","qb",30,1,0,0,4903,28,0,0,0,0,0
"Philip Rivers","qb",27,0,0,0,3606,26,0,0,0,0,0
"Joe Flacco","qb",32,3,0,0,3817,22,0,0,0,0,0
"Andy Dalton","qb",47,4,0,0,3669,27,0,0,0,0,0
"Eli Manning","qb",20,0,0,0,3948,26,0,0,0,0,0
"Cam Newton","qb",127,8,0,0,3869,19,0,0,0,0,0
"Kevin Kolb","qb",16,1,0,0,1169,8,0,0,0,0,0
"Carson Palmer","qb",18,1,0,0,4018,22,0,0,0,0,0
"Colt McCoy","qb",4,0,0,0,79,1,0,0,0,0,0
"Tim Tebow","qb",32,0,0,0,39,0,0,0,0,0,0
"David Carr","qb",3,0,0,0,19,0,0,0,0,0,0
"Ryan Fitzpatrick","qb",48,1,0,0,3400,24,0,0,0,0,0
"Thaddeus Lewis","qb",1,0,0,0,204,1,0,0,0,0,0
"Sam Bradford","qb",37,1,0,0,3702,21,0,0,0,0,0
"Josh Freeman","qb",39,0,0,0,4065,27,0,0,0,0,0
"Jay Cutler","qb",41,0,0,0,3033,19,0,0,0,0,0
"Christian Ponder","qb",60,2,0,0,2935,18,0,0,0,0,0
"Matt Hasselbeck","qb",13,0,0,0,1367,7,0,0,0,0,0
"Rusty Smith","qb",0,0,0,0,34,0,0,0,0,0,0
"Dan Orlovsky","qb",0,0,0,0,51,0,0,0,0,0,0
"Matt Flynn","qb",4,0,0,0,68,0,0,0,0,0,0
"Matthew Stafford","qb",35,4,0,0,4967,20,0,0,0,0,0
"Greg McElroy","qb",8,0,0,0,214,1,0,0,0,0,0
"Nick Foles","qb",11,1,0,0,1699,6,0,0,0,0,0
"Michael Vick","qb",62,1,0,0,2362,12,0,0,0,0,0
"Blaine Gabbert","qb",18,0,0,0,1662,9,0,0,0,0,0
"Tyler Thigpen","qb",1,0,0,0,30,0,0,0,0,0,0
"Andrew Luck","qb",62,5,0,0,4374,23,0,0,0,0,0
"Ryan Tannehill","qb",49,2,0,0,3294,12,0,0,0,0,0
"Jake Locker","qb",41,1,0,0,2176,10,0,0,0,0,0
"Jason Campbell","qb",7,0,0,0,265,2,0,0,0,0,0
"Brandon Weeden","qb",27,0,0,0,3385,14,0,0,0,0,0
"Chad Henne","qb",19,1,0,0,2084,11,0,0,0,0,0
"Terrelle Pryor","qb",10,1,0,0,155,2,0,0,0,0,0
"Mark Sanchez","qb",22,0,0,0,2883,13,0,0,0,0,0
"Matt Cassel","qb",27,1,0,0,1796,6,0,0,0,0,0
"Brian Hoyer","qb",1,0,0,0,330,1,0,0,0,0,0
"Charlie Batch","qb",0,0,0,0,475,1,0,0,0,0,0
"Graham Harrell","qb",4,0,0,0,20,0,0,0,0,0,0
"Bruce Gradkowski","qb",4,0,0,0,65,0,0,0,0,0,0
"Tyrod Taylor","qb",14,1,0,0,179,0,0,0,0,0,0
"Brady Quinn","qb",19,0,0,0,1141,2,0,0,0,0,0
"Brock Osweiler","qb",8,0,0,0,12,0,0,0,0,0,0
"John Skelton","qb",4,0,0,0,1132,2,0,0,0,0,0
"Byron Leftwich","qb",1,1,0,0,272,0,0,0,0,0,0
